CBPDCNNC-N48GE2A-RT02;Ethernet104/1/26;107;SLANC-UPM-AUGGSMX031_ILO;
CBPDCNNC-N48GE2A-RT02;Ethernet104/1/27;105;SLANC-UPM-AUGGSMX131_ILO;
CBPDCNNC-N48GE2A-RT02;Ethernet104/1/31;149;SLAC-UPM-bur_edge_d2_22_ILO;100/Full
CBPDCNNC-N48GE2A-RT02;Ethernet104/1/34;302,988;SLAC-UPB-DM63_Node2_TSM;
;;;;
CBPDCNFL-N48GE2A-RT01;Eth1/23;429;SLAC_UPD-DM63_Node1_Data1;
CBPDCNFL-N48GE2A-RT01;Eth1/24;429;SLAC_UPD-DM63_Node2_Data1;
CBPDCNFL-N48GE2A-RT02;Eth1/23;429;SLAC_UPD-DM63_Node1_Data2;
CBPDCNFL-N48GE2A-RT02;Eth1/24;429;SLAC_UPD-DM63_Node2_Data2;
;;;;
CBPDCNCL-N48GE2A-RT01;Eth1/3;115,130;SLAC-UPM-DM61DB02_PROD1;
CBPDCNCL-N48GE2A-RT01;Eth1/4;115,130;SLAC-UPM-DM61DB01_PROD1;
CBPDCNCL-N48GE2A-RT02;Eth1/3;115,130;SLAC-UPM-DM61DB02_PROD2;
CBPDCNCL-N48GE2A-RT02;Eth1/4;115,130;SLAC-UPM-DM61DB01_PROD2;
